,name_product,price_product,link_product
15,Perro Pincher Mini Mascotas Rionegro Medellín Bogota,780.000,https://articulo.mercadolibre.com.co/MCO-872977004-perro-pincher-mini-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174326865574#searchVariation=174326865574&position=16&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
16,Espectaculares Cachorros Pincher Miniatura Mascotas Rionegro,750.000,https://articulo.mercadolibre.com.co/MCO-558280218-espectaculares-cachorros-pincher-miniatura-mascotas-rionegro-_JM?searchVariation=53546461267#searchVariation=53546461267&position=17&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
17,Cachorros Border Collie Merlw,950.000,https://articulo.mercadolibre.com.co/MCO-856646348-cachorros-border-collie-merlw-_JM#position=18&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
18,Pastor Alemán Precio Especial Mascotas Rionegro Medellín,980.000,https://articulo.mercadolibre.com.co/MCO-873249661-pastor-aleman-precio-especial-mascotas-rionegro-medellin-_JM?searchVariation=174329670360#searchVariation=174329670360&position=19&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
19,Cachorros Doberman Perrito Doverman Puppy Dobermen,4.320.000,https://articulo.mercadolibre.com.co/MCO-854145135-cachorros-doberman-perrito-doverman-puppy-dobermen-_JM?searchVariation=174143614021#searchVariation=174143614021&position=20&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
20,Cachorros Pastor Holandes,800.000,https://articulo.mercadolibre.com.co/MCO-875432006-cachorros-pastor-holandes-_JM?searchVariation=174345918924#searchVariation=174345918924&position=21&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
21,Cachorros Bulldogs Ingles Bull Dog Ingles Perrito Cachorrito,7.200.000,https://articulo.mercadolibre.com.co/MCO-851312004-cachorros-bulldogs-ingles-bull-dog-ingles-perrito-cachorrito-_JM?searchVariation=174112624228#searchVariation=174112624228&position=22&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
22,Cachorros Border Collie Mascotas Rionegro Medellin Bogotá,2.400.000,https://articulo.mercadolibre.com.co/MCO-869895622-cachorros-border-collie-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174300368736#searchVariation=174300368736&position=23&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
23,Cachorros Husky Siberiano Mascotas Medellín Bogota,1.300.000,https://articulo.mercadolibre.com.co/MCO-870893219-cachorros-husky-siberiano-mascotas-medellin-bogota-_JM?searchVariation=174308086332#searchVariation=174308086332&position=24&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
24,Fluffy Bulldog Francés,60.000.000,https://articulo.mercadolibre.com.co/MCO-838791732-fluffy-bulldog-frances-_JM#position=25&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
25,Perros Cachorros Pug Mini Brindle Exotico Puppy Puu Pog,1.300.000,https://articulo.mercadolibre.com.co/MCO-872306717-perros-cachorros-pug-mini-brindle-exotico-puppy-puu-pog-_JM?searchVariation=174320842991#searchVariation=174320842991&position=26&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
26,Cachorros Cocker Spaniel,550.000,https://articulo.mercadolibre.com.co/MCO-855306895-cachorros-cocker-spaniel-_JM?searchVariation=174263135215#searchVariation=174263135215&position=27&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
27,Perros Cachorros De Raza Cocker Spaniel,800.000,https://articulo.mercadolibre.com.co/MCO-824254437-perros-cachorros-de-raza-cocker-spaniel-_JM?searchVariation=173835534600#searchVariation=173835534600&position=28&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
28,Cachorros Shituzu Macho,1.000.000,https://articulo.mercadolibre.com.co/MCO-608848447-cachorros-shituzu-macho-_JM?searchVariation=76965393641#searchVariation=76965393641&position=29&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
29,Cachorros Doberman Perrito Doverman Puppy Dobermen,3.120.000,https://articulo.mercadolibre.com.co/MCO-854157992-cachorros-doberman-perrito-doverman-puppy-dobermen-_JM?searchVariation=174143371005#searchVariation=174143371005&position=30&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
30,Pastor Alemán Macho Disponible,900.000,https://articulo.mercadolibre.com.co/MCO-625420209-pastor-aleman-macho-disponible-_JM?searchVariation=85388982906#searchVariation=85388982906&position=31&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
31,Cachorros Pastor Ganadero Australiano,1.550.000,https://articulo.mercadolibre.com.co/MCO-605500976-cachorros-pastor-ganadero-australiano-_JM?searchVariation=90244344464#searchVariation=90244344464&position=32&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
32,Cachorro Bulldog Ingles Bull Dog Ingles Perrito Cachorrito,8.640.000,https://articulo.mercadolibre.com.co/MCO-851425556-cachorro-bulldog-ingles-bull-dog-ingles-perrito-cachorrito-_JM?searchVariation=174112522398#searchVariation=174112522398&position=33&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
33,Cachorro Pastor Belga Malinois Puppy Pastor Belga Perrito,4.320.000,https://articulo.mercadolibre.com.co/MCO-861017398-cachorro-pastor-belga-malinois-puppy-pastor-belga-perrito-_JM?searchVariation=174209925333#searchVariation=174209925333&position=34&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
34,Cachorros Bulldog Francés Blue Merle Línea Pequeña,6.000.000,https://articulo.mercadolibre.com.co/MCO-829739190-cachorros-bulldog-frances-blue-merle-linea-pequena-_JM?searchVariation=173889173994#searchVariation=173889173994&position=35&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
35,Cachorros De Raza Beagles,800.000,https://articulo.mercadolibre.com.co/MCO-646097462-cachorros-de-raza-beagles-_JM?searchVariation=90945026196#searchVariation=90945026196&position=36&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
36,Cachorro Doberman Perrito Doverman Puppy Dobermen Cachorrito,4.080.000,https://articulo.mercadolibre.com.co/MCO-854158040-cachorro-doberman-perrito-doverman-puppy-dobermen-cachorrito-_JM?searchVariation=174143371378#searchVariation=174143371378&position=37&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
37,Pastor Belga Cachorros,950.000,https://articulo.mercadolibre.com.co/MCO-828096757-pastor-belga-cachorros-_JM?searchVariation=173873435498#searchVariation=173873435498&position=38&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
38,Cachorro Bulldog Ingless Bull Dog Ingles Perrito Cachorrito,4.800.000,https://articulo.mercadolibre.com.co/MCO-851471095-cachorro-bulldog-ingless-bull-dog-ingles-perrito-cachorrito-_JM?searchVariation=174112596738#searchVariation=174112596738&position=39&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
39,Cachorro Chihuahua Puppy Perrito Chiguagua Cachorrito,6.060.000,https://articulo.mercadolibre.com.co/MCO-860107877-cachorro-chihuahua-puppy-perrito-chiguagua-cachorrito-_JM?searchVariation=174203134598#searchVariation=174203134598&position=40&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
40,Cachorro Bulldog Francés Puppy Bull Doc Vull Doc Cachorrito,9.840.000,https://articulo.mercadolibre.com.co/MCO-859643492-cachorro-bulldog-frances-puppy-bull-doc-vull-doc-cachorrito-_JM?searchVariation=174198724098#searchVariation=174198724098&position=41&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
41,Perro Pincher Marron Mascotas Rionegro Medellín Bogota,780.000,https://articulo.mercadolibre.com.co/MCO-873044888-perro-pincher-marron-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174326833427#searchVariation=174326833427&position=42&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
42,Bulldog Francés Lilac Gris. Criadero El Arca Del Francés,2.800.000,https://articulo.mercadolibre.com.co/MCO-613804064-bulldog-frances-lilac-gris-criadero-el-arca-del-frances-_JM#position=43&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
43,Pitbull Blue Mascotas Rionegro Medellin Bogotá Cali,1.300.000,https://articulo.mercadolibre.com.co/MCO-869891933-pitbull-blue-mascotas-rionegro-medellin-bogota-cali-_JM?searchVariation=174299412668#searchVariation=174299412668&position=44&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
44,Espectaculares Cachorros Frenshpoodle Minitoy Mascotas Rione,950.000,https://articulo.mercadolibre.com.co/MCO-839650810-espectaculares-cachorros-frenshpoodle-minitoy-mascotas-rione-_JM?searchVariation=173990474268#searchVariation=173990474268&position=45&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
45,Cachorro Husky Siberiano Con Registro Perritos Cachorritos,5.000.000,https://articulo.mercadolibre.com.co/MCO-844430665-cachorro-husky-siberiano-con-registro-perritos-cachorritos-_JM?searchVariation=174156986151#searchVariation=174156986151&position=46&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
46,Perros Cachorros Beagle Bigol Bigitoy Mini Perritos Puppy,2.520.000,https://articulo.mercadolibre.com.co/MCO-849528011-perros-cachorros-beagle-bigol-bigitoy-mini-perritos-puppy-_JM?searchVariation=174091781055#searchVariation=174091781055&position=47&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
47,Cachorro Cocker Spaniel Puppy Coker Perrito Coquer,4.800.000,https://articulo.mercadolibre.com.co/MCO-852414922-cachorro-cocker-spaniel-puppy-coker-perrito-coquer-_JM?searchVariation=174125037220#searchVariation=174125037220&position=48&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
48,Cachorros Pincher Mini Mascotas Rionegro Medellín Bogota,780.000,https://articulo.mercadolibre.com.co/MCO-872958330-cachorros-pincher-mini-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174326919895#searchVariation=174326919895&position=49&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
49,Cachorro Bulldog Frances Macho Sable At El Arca Del Frances,1.300.000,https://articulo.mercadolibre.com.co/MCO-608900430-cachorro-bulldog-frances-macho-sable-at-el-arca-del-frances-_JM?searchVariation=76995690412#searchVariation=76995690412&position=50&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
50,Espectacular Cachorro Pomerania Mini Mascotas Rionegro,2.300.000,https://articulo.mercadolibre.com.co/MCO-825689398-espectacular-cachorro-pomerania-mini-mascotas-rionegro-_JM?searchVariation=173907206964#searchVariation=173907206964&position=51&search_layout=stack&type=item&tracking_id=6bfd5292-3eb1-4ce3-8ef4-a9e94cbad50f
